Species,Project,Run,Recovery Site,CU Index (Recovery Site),CU Name (Recovery Site),Waterbody ID (Recovery Site),Latitude (Recovery Site),Longitude (Recovery Site),Recovery Year,Sex/Maturity,01Used For Broodstock,02Loaded Into Spawning Channel,03Given To First Nations (FSC),04Excess To Spawning Req (ESSR),05Sold,06Holding Mortalities,07Used For Other Purposes/Other Mortalities,08Est Of First Nations Fishery (FSC),09Est Of Sport Fishery,10Captive Used For Broodstock,21Sampled For Marks And Released Above Fence,21Sampled For Marks And Released Below Fence,21Sampled For Marks And Released Total River,22Counted But Not Sampled Above Fence,22Counted But Not Sampled Below Fence,22Counted But Not Sampled Total River,23Additional Hatchery Estimate Above Fence,23Additional Hatchery Estimate Below Fence,23Additional Hatchery Estimate Total River,24Dead Pitch - Usable Count Above Fence,24Dead Pitch - Usable Count Below Fence,24Dead Pitch - Usable Count Total River,29StAD Estimate Above Fence,29StAD Estimate Below Fence,29StAD Estimate Total River
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2003,Male,155,,,,,,37,,,,,,,,,60,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2003,Female,145,,,,,,4,,,,,,,,,3,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2003,Jack,3,,,,,,3,,,,,,,,,,,,289,,,,,,289
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2004,Unsexed Adult,,,,,,,,,,,,,,,,,,,3104,,,,,,3316
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2004,Male,111,,,14,,,22,,,,,,,,,1,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2004,Female,104,,,,,,27,,,,,,,,,6,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2004,Jack,,,,,,,,,,,,,,,,,,,212,,,,,,212
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2005,Unsexed Adult,,,32,,,,,,,,,,,,,,,,1000,,,,,,1097
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2005,Male,72,,15,14,,,5,,,,,,,,,11,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2005,Female,67,,10,,,,5,,,,,,1,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2005,Jack,4,,,9,,,,,,,,,,,,,,,,,,,,,97
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2006,Unsexed Adult,,,,10,,,,,,,,,,,,,,,,,,,,,2692
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2006,Male,136,,,,,,9,,,,,,,,,84,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2006,Female,154,,,,,,2,,,,,,,,,5,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2006,Jack,1,,,,,,,,,,,,,,,,,,,,,,,,58
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2007,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,1300
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2007,Male,75,,,,,,36,,,,,,,,,72,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2007,Female,104,,,,,,16,,,,,,,,,37,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2008,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,769
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2008,Male,85,,,,,,22,,,,,,,,,23,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2008,Female,126,,,,,,47,,,,,,,,,72,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2008,Jack,4,,,,,,,,,,,,,,,,,,,,,,,,51
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2009,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,600
